PERSON_ID,AWARD_BONUS
202322,24
202323,0
202324,0
202325,0
202326,32
202327,0
202328,0
202329,0
202330,4
202331,74
202334,0
202335,0
202336,0
202337,0
202338,0
202339,0
202340,0
202341,0
202344,0
202347,0
202348,0
202349,0
202355,0
202357,8
202361,0
202362,0
202379,0
202681,66
202682,0
202683,0
202684,8
202685,0
202687,0
202688,0
202689,20
202691,60
202692,0
202693,8
202694,0
202695,150
202696,8
202697,8
202699,0
202700,0
202702,0
202703,0
202704,8
202705,0
202708,16
202709,8
202710,54
202711,0
202713,0
202714,0
202718,0
202720,0
202722,0
202730,0
202734,0
202738,16
203076,104
203077,0
203078,16
203079,8
203080,0
203081,94
203084,8
203082,0
203083,12
203085,0
203086,0
203087,0
203089,0
203090,0
203092,0
203093,0
203094,0
203095,0
203096,0
203100,0
203101,0
203107,0
203109,0
203110,68
203112,0
203114,20
203115,0
203118,0
203121,0
203124,0
203135,0
203506,18
203490,8
203469,0
203458,0
203457,0
203463,0
203484,16
203504,0
203468,6
203487,6
203500,0
203482,0
203498,0
203507,227
203471,0
203499,0
203503,0
203476,0
203486,0
203524,0
203501,0
203493,0
203460,0
203497,64
203459,0
203477,0
203488,0
203526,0
203527,0
203516,0
203530,0
203952,18
203953,0
203954,97
203932,8
203957,0
203935,8
203944,30
203917,0
203943,0
203901,0
203926,0
203967,0
203897,8
203933,0
203994,0
203914,0
203918,0
203894,0
203991,0
203992,0
203937,0
203925,0
203915,0
203924,0
203922,0
203999,206
203939,0
203903,4
1626157,42
1626156,4
1626143,0
204001,12
1626209,0
1626161,0
1626144,0
1626169,0
1626163,0
1626159,0
1626167,0
1626168,0
1626164,36
1626166,0
1626162,0
1626179,0
1626170,0
1626153,0
1626171,8
1626178,0
1626145,0
1626204,0
1626172,16
1626224,0
1626149,4
1626195,0
1626158,0
1626196,0
1626192,8
1626150,0
1626181,12
1627732,22
1627742,14
1627759,51
1627739,0
1627741,0
1627750,12
1627737,0
1627751,0
1627734,20
1627752,0
1627756,0
1627823,0
1627736,0
1627747,0
1627761,0
1627789,0
1627788,0
1627783,42
1627749,4
1627745,16
1627826,0
1627763,10
1627774,0
1627777,0
1628365,0
1628366,0
1628369,84
1628367,0
1628368,12
1628371,0
1628374,10
1628373,0
1628372,0
1628380,0
1628370,0
1628379,0
1628378,48
1628389,12
1628382,8
1628381,0
1628386,4
1628384,8
1628398,8
1628401,8
1628404,0
1628402,0
1628407,0
1628418,8
1628392,8
1628422,0
1628415,0
1628425,0
1628420,0
1629028,0
1628963,0
1629029,90
1628991,16
1629027,20
1628964,0
1628976,0
1629012,0
1628995,0
1628969,0
1628983,100
1628970,0
1629008,8
1628972,0
1628978,8
1629022,0
1628989,0
1629006,0
1628960,0
1628988,0
1629014,0
1629021,0
1629013,0
1629057,0
1628975,0
1628973,28
1628984,0
1629011,0
1629018,0
1629020,0
1628971,8
1628977,0
1629001,0
1629004,8
1628966,0
1629002,0
1629003,0
1629627,8
1629630,28
1629628,0
1629631,0
1629636,8
1629632,0
1629637,0
1629060,0
1629629,0
1629661,0
1629023,0
1629639,8
1629638,0
1629048,0
1629680,0
1629634,0
1629684,0
1629647,0
1629660,0
1629642,0
1629673,8
1629640,0
1629645,0
1629651,0
1628998,0
1629655,0
1629672,0
1629669,0
1629626,0
1629676,0
1629659,8
1629611,0
1629667,0
1630162,32
1630163,10
1630172,0
1630171,0
1630168,0
1630165,0
1630167,0
1630166,4
1630188,0
1630170,0
1630169,16
1630174,0
1630175,0
1630191,0
1630197,0
1630182,0
1630180,0
1630173,0
1630178,14
1630193,0
1630202,12
1630183,0
1630201,0
1630217,0
1630177,0
1630214,8
1630249,0
1630200,0
1630208,0
1629670,8
1630198,8
1630231,0
1630194,0
1630241,8
1630595,12
1630224,0
1630596,20
1630567,14
1630591,0
1630581,0
1630228,8
1630532,0
1630558,0
1630533,0
1630541,8
1630557,0
1630578,4
1630530,0
1630544,0
1630552,4
1630543,0
1629656,0
1630538,0
1630560,0
1630549,0
1630583,0
1630526,0
1630529,0
1630540,0
1630245,0
1629674,8
1630625,0
1630527,0
1630568,0
1630572,0
1630598,8
1630579,0
1631094,10
1631096,12
1631095,0
1631099,0
1631093,0
1631097,0
1631101,0
1630700,0
1631110,0
1631114,16
1631105,4
1630534,0
1631109,0
1631106,0
1631222,0
1631103,0
1631128,8
1631117,0
1631107,0
1631212,8
1629614,0
1631119,8
1631108,0
1630702,0
1631217,0
1631157,0
1631246,0
1631133,0
